"common_name","eBird","BAMv4","BAMv5","CGAMv1","DUC"
"Ochre-throated Foliage-gleaner","Yes","No","No","No","No"
"Black-throated Huet-huet","Yes","No","No","No","No"
"Black-throated Magpie-Jay","Yes","No","No","No","No"
"Black-throated Green Warbler","Yes","Yes","Yes","No","No"
"Band-tailed Sierra Finch","Yes","No","No","No","No"
"Black-throated Shrike-Tanager","Yes","No","No","No","No"
"Bare-throated Tiger-Heron","Yes","No","No","No","No"
"Black-throated Gray Warbler","Yes","No","No","No","No"
"Southern Cordonbleu","Yes","No","No","No","No"
"Buff-breasted Earthcreeper","Yes","No","No","No","No"
"Buff-breasted Flycatcher","Yes","No","No","No","No"
"Blue-black Grosbeak","Yes","No","No","No","No"
"Buff-bellied Hummingbird","Yes","No","No","No","No"
"Buff-banded Rail","Yes","No","No","No","No"
"Buff-breasted Sandpiper","Yes","No","No","No","No"
"Burnished-buff Tanager","Yes","No","No","No","No"
"Buff-breasted Wren","Yes","No","No","No","No"
"Bushy-crested Jay","Yes","No","No","No","No"
"Velvety Manakin","Yes","No","No","No","No"
"Blue-capped Motmot","Yes","No","No","No","No"
"Lesson's Motmot","Yes","No","No","No","No"
"Whooping Motmot","Yes","No","No","No","No"
"Buff-collared Nightjar","Yes","No","No","No","No"
"Blue-crowned Parakeet","Yes","No","No","No","No"
"Blue-capped Redstart","Yes","No","No","No","No"
"Blue-chinned Sapphire","Yes","No","No","No","No"
"Budgerigar","Yes","No","No","No","No"
"Bufflehead","Yes","No","No","No","No"
"Turquoise-fronted Amazon","Yes","No","No","No","No"
"Blue-fronted Parrotlet","Yes","No","No","No","No"
"Buffy Tuftedcheek","Yes","No","No","No","No"
"Blue-gray Gnatcatcher","Yes","Yes","No","No","No"
"Blue-gray Tanager","Yes","No","No","No","No"
"Bull-headed Shrike","Yes","No","No","No","No"
"Blue-headed Vireo","Yes","Yes","Yes","No","No"
"Buller's Albatross","Yes","No","No","No","No"
"Bullock's Oriole","Yes","No","No","No","No"
"Buller's Shearwater","Yes","No","No","No","No"
"Bumblebee Hummingbird","Yes","No","No","No","No"
"Buff-necked Ibis","Yes","No","No","No","No"
"Burrowing Owl","Yes","No","No","No","No"
"Burrowing Parakeet","Yes","No","No","No","No"
